Total Questions: 155

ID              | Keyword    | Title
--------------------------------------------------------------------------------
263676326       | 穷养         | 那些被穷养的男生长大后性格怎么样？
44196985        | 穷养         | 男孩到底是要穷养还是富养？
32203688        | 穷养         | 男孩子从小穷养是一种什么样的体验?
1960477978011071078 | 穷养         | 影视飓风 Tim 称父母观念是穷养儿，上大学才知道家里有钱，如何看待这种「抓娃娃」式的教育观念？
15177632178     | 穷养         | 为什么知乎大多人反对穷养？
2007756223861241553 | 穷养         | 男孩要穷养，女孩要富养这个观念是对的吗？
281551948       | 穷养         | 那些被穷养的女孩长大后性格都怎么样？
2003955250479010646 | 穷养         | 穷养和富养的核心区别是金钱投入吗？
7637001650      | 穷养         | 为什么有人觉得穷养孩子是最好的？
2005693512348349441 | 穷养         | 明明是普通家庭，却非要富养女儿，穷养儿子，最后坑了谁？
52193351        | 富养         | 为什么女孩子要富养？
67599652        | 富养         | 什么事情让你觉得女孩子一定要富养？
263474813       | 富养         | 凭什么女孩子要富养，男孩要穷养？
37093377        | 富养         | 穷养的女孩和富养的女孩的区别在哪？
630158495       | 富养         | 富养出来的女孩，嫁给穷养出来的男孩，他们能幸福吗？
497209540       | 富养         | 如何看待穷人家孩子富养的现象？
14056744717     | 富养         | 从心理学角度看，什么是「穷养」什么是「富养」？养育孩子你认为哪类好？
32062364        | 富养         | 男孩子被富养是怎样的感受？
607201040       | 富养         | 为什么女儿要富养，这种方式养大的女孩万一养成了骄奢淫逸的习惯，长大后需要独立生活时怎么办？
31775843        | 富养         | 女孩子被富养是怎样的感受？
1987415241349411385 | 穷养         | 父母穷养的女孩上了高中容易被男孩骗吗？
2002735495009038351 | 穷养         | 老话说的女儿富养，男孩穷养，这两个问题的内在逻辑关系是啥？
295115760       | 穷养         | 家庭较为富裕及以上，但是作为男生被穷养是种什么样的体验？
19728920        | 穷养         | 为什么说「穷养儿子富养女」？「富养」和「穷养」分别是怎样的教育方法？在当前社会依然适用吗？
